model,rmse,mae,r2,smape
RF,0.8134391401054331,0.6522354112553443,0.19438576893405568,25.29154816482003
Linear,0.8217965341817611,0.6468091102124636,0.177746730207197,25.52919392033272
LGBM,0.8256149663469378,0.6619010270250347,0.17008786948867594,25.613337799786045
XGB,0.8320269996169796,0.6683727314450087,0.15714699876629334,25.85765546717432
