model,rmse,mae,r2,smape
RF,0.8134391401054331,0.6522354112553443,0.19438576893405568,25.29154816482003
Linear,0.8217965341817611,0.6468091102124636,0.177746730207197,25.52919392033272
LGBM,0.8396715979320045,0.6651449333624779,0.1415877133683776,25.772706418259833
XGB,0.8483032828184228,0.6727512524471311,0.12384832853440042,25.98914350313006
